Athlete,Country,Sex,Sport,Age,Gold,Silver,Bronze,Total
Mārtiņš Rubenis,Latvia,Male,Luge,35,0,0,1,1
Elīza Tīruma,Latvia,Female,Luge,23,0,0,1,1
Ireen Wüst,Netherlands,Female,Speed Skating,27,2,3,0,5
Sven Kramer,Netherlands,Male,Speed Skating,27,2,1,0,3
Jorien ter Mors,Netherlands,Female,Short Track Speed Skating Speed Skating,24,2,0,0,2
Jan Blokhuijsen,Netherlands,Male,Speed Skating,24,1,1,0,2
Koen Verweij,Netherlands,Male,Speed Skating,23,1,1,0,2
Jorrit Bergsma,Netherlands,Male,Speed Skating,28,1,0,1,2
Michel Mulder,Netherlands,Male,Speed Skating,27,1,0,1,2
Lotte van Beek,Netherlands,Female,Speed Skating,22,1,0,1,2
Margot Boer,Netherlands,Female,Speed Skating,28,0,0,2,2
Stefan Groothuis,Netherlands,Male,Speed Skating,32,1,0,0,1
Marrit Leenstra,Netherlands,Female,Speed Skating,24,1,0,0,1
Jan Smeekens,Netherlands,Male,Speed Skating,26,0,1,0,1
Bob de Jong,Netherlands,Male,Speed Skating,37,0,0,1,1
Carien Kleibeuker,Netherlands,Female,Speed Skating,35,0,0,1,1
Sjinkie Knegt,Netherlands,Male,Short Track Speed Skating,24,0,0,1,1
Ronald Mulder,Netherlands,Male,Speed Skating,27,0,0,1,1
Marit Bjørgen,Norway,Female,Cross Country Skiing,33,3,0,0,3
Tora Berger,Norway,Female,Biathlon,32,1,1,1,3
Tiril Eckhoff,Norway,Female,Biathlon,23,1,0,2,3
Ole Einar Bjørndalen,Norway,Male,Biathlon,40,2,0,0,2
Jørgen Graabak,Norway,Male,Nordic Combined,22,2,0,0,2
Emil Hegle Svendsen,Norway,Male,Biathlon,28,2,0,0,2
Magnus Moan,Norway,Male,Nordic Combined,30,1,1,0,2
Ingvild Flugstad Østberg,Norway,Female,Cross Country Skiing,23,1,1,0,2
Kjetil Jansrud,Norway,Male,Alpine Skiing,28,1,0,1,2
Magnus Krog,Norway,Male,Nordic Combined,26,1,0,1,2
Therese Johaug,Norway,Female,Cross Country Skiing,25,0,1,1,2
Maiken Caspersen Falla,Norway,Female,Cross Country Skiing,23,1,0,0,1
Ola Vigen Hattestad,Norway,Male,Cross Country Skiing,31,1,0,0,1
Håvard Klemetsen,Norway,Male,Nordic Combined,35,1,0,0,1
Ståle Sandbech,Norway,Male,Snowboarding,20,0,1,NA,1
Anders Bardal,Norway,Male,Ski Jumping,31,0,0,1,1
Ann Kristin Flatland,Norway,Female,Biathlon,31,0,0,1,1
Fanny Horn,Norway,Female,Biathlon,25,0,0,1,1
Henrik Kristoffersen,Norway,Male,Alpine Skiing,19,0,0,1,1
Kristin Størmer Steira,Norway,Female,Cross Country Skiing,32,0,0,1,1
Martin Johnsrud Sundby,Norway,Male,Cross Country Skiing,29,0,0,1,1
Heidi Weng,Norway,Female,Cross Country Skiing,22,0,0,1,1
Kamil Stoch,Poland,Male,Ski Jumping,26,2,0,0,2
Zbigniew Bródka,Poland,Male,Speed Skating,29,1,0,1,2
Justyna Kowalczyk,Poland,Female,Cross Country Skiing,31,1,0,0,1
Natalia Czerwonka,Poland,Female,Speed Skating,25,0,1,0,1
Katarzyna Wójcicka-Bachleda-Curuś,Poland,Female,Speed Skating,34,0,1,0,1
Katarzyna Woźniak,Poland,Female,Speed Skating,24,0,1,0,1
Luiza Złotkowska,Poland,Female,Speed Skating,27,0,1,0,1
Konrad Niedźwiedzki,Poland,Male,Speed Skating,29,0,0,1,1
Jan Szymanski,Poland,Male,Speed Skating,24,0,0,1,1
Viktor An,Russia,Male,Short Track Speed Skating,28,3,0,1,4
Maksim Vylegzhanin,Russia,Male,Cross Country Skiing,31,0,3,0,3
Maksim Trankov,Russia,Male,Figure Skating,30,2,0,0,2
Tetiana Volosozhar,Russia,Female,Figure Skating,27,2,0,0,2
Aleksey Voyevoda,Russia,Male,Bobsleigh,33,2,0,0,2
Vic Wild,Russia,Male,Snowboarding,27,2,0,0,2
Aleksandr Zubkov,Russia,Male,Bobsleigh,39,2,0,0,2
Vladimir Grigoryev,Russia,Male,Short Track Speed Skating,31,1,1,0,2
Fyodor Klimov,Russia,Male,Figure Skating,23,1,1,0,2
Aleksandr Legkov,Russia,Male,Cross Country Skiing,30,1,1,0,2
Kseniya Stolbova,Russia,Female,Figure Skating,21,1,1,0,2
Yelena Ilyinykh,Russia,Female,Figure Skating,19,1,0,1,2
Nikita Katsalapov,Russia,Male,Figure Skating,22,1,0,1,2
Albert Demchenko,Russia,Male,Luge,42,0,2,0,2
Olga Vilukhina,Russia,Female,Biathlon,25,0,2,0,2
Olga Graf,Russia,Female,Speed Skating,30,0,0,2,2
Yekaterina Bobrova,Russia,Female,Figure Skating,23,1,0,0,1
Yuliya Lipnitskaya,Russia,Female,Figure Skating,15,1,0,0,1
Dmitry Malyshko,Russia,Male,Biathlon,26,1,0,0,1
Aleksey Negodaylo,Russia,Male,Bobsleigh,24,1,0,0,1
Yevgeny Plyushchenko,Russia,Male,Figure Skating,31,1,0,0,1
Anton Shipulin,Russia,Male,Biathlon,26,1,0,0,1
Adelina Sotnikova,Russia,Female,Figure Skating,17,1,0,0,1
Dmitry Sovolyov,Russia,Male,Figure Skating,24,1,0,0,1
Aleksandr Tretyakov,Russia,Male,Skeleton,28,1,0,0,1
Dmitry Trunenkov,Russia,Male,Bobsleigh,29,1,0,0,1
Yevgeny Ustyugov,Russia,Male,Biathlon,28,1,0,0,1
Aleksey Volkov,Russia,Male,Biathlon,25,1,0,0,1
Semyon Yelistratov,Russia,Male,Short Track Speed Skating,23,1,0,0,1
Ruslan Zakharov,Russia,Male,Short Track Speed Skating,26,1,0,0,1
Vladislav Antonov,Russia,Male,Luge,22,0,1,0,1
Aleksandr Bessmertnykh,Russia,Male,Cross Country Skiing,27,0,1,0,1
Aleksandr Denisyev,Russia,Male,Luge,22,0,1,0,1
Olga Fatkulina,Russia,Female,Speed Skating,24,0,1,0,1
Tatyana Ivanova,Russia,Female,Luge,22,0,1,0,1
Nikita Kryukov,Russia,Male,Cross Country Skiing,28,0,1,0,1
Nikolay Olyunin,Russia,Male,Snowboarding,22,0,1,0,1
Yana Romanova,Russia,Female,Biathlon,30,0,1,0,1
Yekaterina Shumilova,Russia,Female,Biathlon,27,0,1,0,1
Dmitry Yaparov,Russia,Male,Cross Country Skiing,28,0,1,0,1
Olga Zaytseva,Russia,Female,Biathlon,35,0,1,0,1
Dominique Gisin,Switzerland,Female,Alpine Skiing,28,1,0,0,1
Mikaela Shiffrin,United States,Female,Alpine Skiing,18,1,0,0,1
Anastasia Kuzmina,Slovakia,Female,Biathlon,29,1,0,0,1
Yuliya Dzhyma,Ukraine,Female,Biathlon,23,1,0,0,1
Olena Pidhrushna,Ukraine,Female,Biathlon,27,1,0,0,1
Valj Semerenko,Ukraine,Female,Biathlon,28,1,0,0,1
Selina Gasparin,Switzerland,Female,Biathlon,29,0,1,0,1
Elana Meyers,United States,Female,Bobsleigh,29,0,1,0,1
Lauryn Williams,United States,Female,Bobsleigh,30,0,1,0,1
Emma Wikén,Sweden,Female,Cross Country Skiing,24,1,0,0,1
Anna Haag,Sweden,Female,Cross Country Skiing,27,1,0,0,1
Maria Wennerström,Sweden,Female,Curling,28,0,1,0,1
Christina Bertrup,Sweden,Female,Curling,37,0,1,0,1
Maria Prytz,Sweden,Female,Curling,37,0,1,0,1
Margaretha Sigfridsson,Sweden,Female,Curling,38,0,1,0,1
Yu-Na Kim,South Korea,Female,Figure Skating,23,0,1,0,1
Maddie Bowman,United States,Female,Freestyle Skiing,20,1,0,0,1
Devin Logan,United States,Female,Freestyle Skiing,20,0,1,0,1
Alex Carpenter,United States,Female,Ice Hockey,19,0,1,0,1
Lee Stecklein,United States,Female,Ice Hockey,19,0,1,0,1
Michelle Picard,United States,Female,Ice Hockey,20,0,1,0,1
Kendall Coyne,United States,Female,Ice Hockey,21,0,1,0,1
Lyndsey Fry,United States,Female,Ice Hockey,21,0,1,0,1
Amanda Kessel,United States,Female,Ice Hockey,22,0,1,0,1
Brianna Decker,United States,Female,Ice Hockey,22,0,1,0,1
Megan Bozek,United States,Female,Ice Hockey,22,0,1,0,1
Josephine Pucci,United States,Female,Ice Hockey,23,0,1,0,1
Anne Schleper,United States,Female,Ice Hockey,24,0,1,0,1
Hilary Knight,United States,Female,Ice Hockey,24,0,1,0,1
Jocelyne Lamoureux,United States,Female,Ice Hockey,24,0,1,0,1
Monique Lamoureux,United States,Female,Ice Hockey,24,0,1,0,1
Molly Schaus,United States,Female,Ice Hockey,25,0,1,0,1
Gigi Marvin,United States,Female,Ice Hockey,26,0,1,0,1
Kacey Bellamy,United States,Female,Ice Hockey,26,0,1,0,1
Kelli Stack,United States,Female,Ice Hockey,26,0,1,0,1
Meghan Duggan,United States,Female,Ice Hockey,26,0,1,0,1
Jessie Vetter,United States,Female,Ice Hockey,28,0,1,0,1
Julie Chu,United States,Female,Ice Hockey,31,0,1,0,1
Gong Sang-Jeong,South Korea,Female,Short Track Speed Skating,17,1,0,0,1
Kim A-Lang,South Korea,Female,Short Track Speed Skating,18,1,0,0,1
Jo Hae-Ri,South Korea,Female,Short Track Speed Skating,27,1,0,0,1
Noelle Pikus-Pace,United States,Female,Skeleton,31,0,1,0,1
Patrizia Kummer,Switzerland,Female,Snowboarding,26,1,0,0,1
Jamie Anderson,United States,Female,Snowboarding,23,1,0,0,1
Kaitlyn Farrington,United States,Female,Snowboarding,24,1,0,0,1
Lee Sang-Hwa,South Korea,Female,Speed Skating,24,1,0,0,1
Lara Gut,Switzerland,Female,Alpine Skiing,22,0,0,1,1
Julia Mancuso,United States,Female,Alpine Skiing,29,0,0,1,1
Teja Gregorin,Slovenia,Female,Biathlon,33,0,0,1,1
Aja Evans,United States,Female,Bobsleigh,25,0,0,1,1
Jamie Greubel,United States,Female,Bobsleigh,30,0,0,1,1
Vesna Fabjan,Slovenia,Female,Cross Country Skiing,28,0,0,1,1
Stina Nilsson,Sweden,Female,Cross Country Skiing,20,0,0,1,1
Gracie Gold,United States,Female,Figure Skating,18,0,0,1,1
